연번,시,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도,데이터기준일자,weight
"2799",경기도 성남시,분당구,백현동,분당백현-A-89,백현동 568-10,하오개로401번길 9,2023-09,"4","37.384656 ","127.108544 ",2025-11-12,0.70
"2800",경기도 성남시,분당구,백현동,분당백현-A-90,백현동 525-1,,2023-11,"4","37.383814 ","127.109641 ",2025-11-12,0.70
"2801",경기도 성남시,분당구,백현동,분당백현-A-91,백현동 540-1,산운로32번길 8 (운중동),2023-11,"4","37.392242 ","127.111174 ",2025-11-12,0.70
"2802",경기도 성남시,분당구,백현동,분당백현-A-92,백현동 541,,2024-10,"4","37.393664 ","127.112689 ",2025-11-12,0.70
"2803",경기도 성남시,분당구,백현동,분당백현-A-93,백현동 492-25,,2024-12,"3","37.383607 ","127.090953 ",2025-11-12,0.70
"2804",경기도 성남시,분당구,운중동,분당운중-A-1,운중동 874-1번지,,"2011","1","37.394039 ","127.063801 ",2025-11-12,0.70
"2805",경기도 성남시,분당구,운중동,분당운중-A-2,운중동 873-1번지,,"2011","1","37.393488 ","127.066848 ",2025-11-12,0.70
"2806",경기도 성남시,분당구,운중동,분당운중-A-3,운중동 989-2번지,,"2011","1","37.394419 ","127.070530 ",2025-11-12,0.70
"2807",경기도 성남시,분당구,운중동,분당운중-A-4,운중동 876-1번지,,"2011","3","37.393076 ","127.061775 ",2025-11-12,0.70
"2808",경기도 성남시,분당구,운중동,분당운중-A-5,운중동 879,산운로68번길 3-3 (운중동),"2011","3","37.392773 ","127.063267 ",2025-11-12,0.70
"2809",경기도 성남시,분당구,운중동,분당운중-A-6,운중동 880,,2020-07,"4","37.392942 ","127.063617 ",2025-11-12,0.70
"2810",경기도 성남시,분당구,운중동,분당운중-A-7,운중동 877-9번지,,"2011","3","37.392404 ","127.062597 ",2025-11-12,0.70
"2811",경기도 성남시,분당구,운중동,분당운중-A-8,운중동 883-1번지,,"2011","1","37.391972 ","127.065047 ",2025-11-12,0.70
"2812",경기도 성남시,분당구,운중동,분당운중-A-9,운중동 886-7번지,,"2011","1","37.392075 ","127.065822 ",2025-11-12,0.70
